Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,16.870100,16.870100,16.077900,16.636400,15.190874,1619849
2009-01-05,17.857100,19.077900,15.740300,17.298700,15.795625,26490636
2009-01-06,17.441601,18.194799,17.155800,17.727301,16.186987,2795793
2009-01-07,17.857100,19.077900,15.740300,16.954500,15.481333,26490636
2009-01-08,16.831200,17.142900,16.428600,16.688299,15.238262,1765302
2009-01-09,16.616899,16.759701,16.292200,16.376600,14.953645,1849540
2009-01-12,17.857100,19.077900,15.740300,15.850600,14.473350,26490636
2009-01-13,17.857100,19.077900,15.740300,16.227301,14.817320,26490636
2009-01-14,16.363600,16.363600,15.266200,15.454500,14.111669,3031875
2009-01-15,15.974000,16.337700,14.792200,16.084400,14.686834,5648258
2009-01-16,16.448000,16.727301,16.077900,16.103901,14.704641,3420725
2009-01-19,16.467501,17.155800,16.467501,16.805201,15.345006,3198965
2009-01-20,16.850700,17.272699,16.233801,16.402599,14.977386,3007620
2009-01-21,16.149300,16.948000,16.025999,16.246700,14.835034,3866786
2009-01-22,16.597401,16.733801,15.552000,15.766200,14.396283,2416876
2009-01-23,15.629900,16.155800,14.857100,16.052000,14.657250,3465154
2009-01-26,15.948000,16.480499,15.623400,16.337700,14.918127,2569413
2009-01-27,17.857100,19.077900,15.740300,16.746700,15.291588,26490636
2009-01-28,17.103901,18.058399,17.045500,17.727301,16.186987,4238542
2009-01-29,17.857100,19.077900,15.740300,16.863600,15.398332,26490636
2009-01-30,16.824699,17.194799,16.597401,16.896099,15.428005,2284359
2009-02-02,16.642900,17.090900,16.428600,16.948000,15.475397,2026717
2009-02-03,17.181801,17.370100,16.467501,17.142900,15.653365,3578575
2009-02-04,17.142900,17.746700,16.818199,17.584400,16.056499,2999458
2009-02-05,17.857100,19.077900,15.740300,17.422100,15.908304,26490636
2009-02-06,17.597401,18.493500,17.493500,18.428600,16.827351,3081155
2009-02-09,18.181801,18.577900,18.006500,18.441601,16.839220,2228072
2009-02-10,18.376600,18.415600,17.558399,17.623400,16.092112,2690688
2009-02-11,17.480499,17.733801,17.311701,17.506500,15.985370,2831906
2009-02-12,17.266199,17.571400,16.961000,17.370100,15.860821,2716021
2009-02-13,18.032499,18.311701,17.681801,18.071400,16.501186,3214750
2009-02-16,17.844200,17.987000,17.714300,17.798700,16.252184,1165780
2009-02-17,17.655800,17.720800,17.006500,17.090900,15.605880,2113881
2009-02-18,16.922100,17.077900,16.558399,16.870100,15.404264,2672901
2009-02-19,17.090900,17.142900,16.214300,16.266199,14.852839,2694153
2009-02-20,16.103901,16.233801,15.636400,15.701300,14.337023,3334485
2009-02-23,15.974000,16.103901,15.266200,15.350600,14.016795,1852312
